speaker	direction	readout	query_system	query_text_index	query_prompt_mic	query_seed_arm	query_clone_sha256	candidate_system	candidate_text_index	candidate_prompt_mic	own_seed_arm	own_clone_sha256	other_seed_arm	other_clone_sha256	cos_own_event	cos_other_event
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.4756557637300462	0.45402242591419822
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.82672148190194039	0.76561527402898555
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	f5	0	mic2	A	1e836885166c83c7	B	df8ff7bb798e2f7a	0.51992420428462904	0.51743968670294094
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	f5	0	mic2	A	1e836885166c83c7	B	df8ff7bb798e2f7a	0.97322720433005472	0.95553221332716187
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	f5	1	mic2	A	3060b6285aee42af	B	7f90412faf61f822	0.52631349933256155	0.50025058546848911
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	f5	1	mic2	A	3060b6285aee42af	B	7f90412faf61f822	0.97023011065761433	0.93430329005712232
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	f5	3	mic2	A	c0c296bcd3de7dcb	B	617fab3410fcc9bc	0.54110644452194701	0.37497557502254908
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	f5	3	mic2	A	c0c296bcd3de7dcb	B	617fab3410fcc9bc	0.96401148289584748	0.88110343116326828
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.53777861957107564	0.45920165824092019
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.95711045284902574	0.95283752724566328
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.55721491802384282	0.46885101097661891
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.97504698458626549	0.95397150492463711
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.48348725674931164	0.45845310105502785
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.94083279078543702	0.91633480151611979
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.44386127115196738	0.38122214632558038
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.85431907790820416	0.87997950006172043
